Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,
December-2013,1068.20,1206.20,1000.00,1098.45,7614149,264291,8519287386.00,206.20,3200856,42.04,30.25,
January-2014,1102.00,1118.00,965.00,988.50,6866815,234830,7160872284.00,153.00,2059500,29.99,-113.50,
February-2014,984.30,1048.80,944.25,1043.70,3670852,154153,3649816174.00,104.55,904689,24.65,59.40,
March-2014,1039.40,1272.90,1022.25,1245.45,6796516,232945,8167771768.00,250.65,2649340,38.98,206.05,
April-2014,1245.00,1317.85,1192.00,1244.80,4490035,219878,5626372536.00,125.85,1835941,40.89,-0.20,
May-2014,1252.00,1590.35,1238.85,1418.40,5608115,389403,7917405172.00,351.50,1591717,28.38,166.40,
June-2014,1414.00,1510.00,1377.75,1418.45,4170737,268100,6020895571.00,132.25,1308480,31.37,4.45,
July-2014,1422.10,1512.20,1334.50,1473.00,5438914,272550,7873266406.00,177.70,2671671,49.12,50.90,
August-2014,1461.00,1563.00,1412.00,1556.55,3017210,215750,4532353798.00,151.00,1021716,33.86,95.55,
September-2014,1553.00,1617.85,1426.00,1435.25,3460224,254979,5318211318.00,191.85,1008134,29.13,-117.75,
October-2014,1440.35,1632.00,1416.45,1625.45,2905210,194796,4437559484.00,215.55,871361,29.99,185.10,
November-2014,1628.00,1778.00,1612.20,1754.60,2897674,195765,4935831978.00,165.80,824540,28.46,126.60,
December-2014,1761.10,1796.80,319.50,353.00,12543954,300626,5259165369.00,1477.30,4724413,37.66,-1408.10,
January-2015,355.45,393.30,335.00,361.15,15901321,431726,5701902743.00,58.30,5454996,34.31,5.70,
February-2015,361.00,361.00,316.55,345.55,23455751,594072,7875180195.00,44.45,7442564,31.73,-15.45,
March-2015,351.00,365.00,302.80,315.30,19873685,460948,6566611602.00,62.20,5435670,27.35,-35.70,
April-2015,315.00,334.80,296.95,331.25,22367383,405129,7072869749.00,37.85,9679887,43.28,16.25,
May-2015,332.00,337.35,300.75,317.30,13912269,234013,4388132966.00,36.60,4379057,31.48,-14.70,
June-2015,317.80,320.45,280.55,308.00,28922338,250857,8688109772.00,39.90,14147673,48.92,-9.80,
July-2015,308.10,321.00,282.80,302.50,23215372,232402,7107672123.00,38.20,9551541,41.14,-5.60,
August-2015,305.45,319.70,267.40,278.10,24230371,253859,7075901221.00,52.30,8566480,35.35,-27.35,
September-2015,275.00,285.35,248.00,270.25,32100937,296453,8572910024.00,37.35,12151241,37.85,-4.75,
October-2015,273.00,292.65,266.50,277.00,11782249,141151,3303415283.00,26.15,3604786,30.60,4.00,
November-2015,277.00,282.70,256.15,274.10,12380404,139076,3313300636.00,26.55,3511977,28.37,-2.90,
December-2015,275.00,276.65,242.95,261.45,29342304,208788,7537600257.00,33.70,14175207,48.31,-13.55,
